Ticks,Tics,TicDelta,Ax-1,Ay-1,Az-1,Ax,Ay,Az,Distance,DistanceDelta,Ax-avg,Ay-avg,Az-avg,DistanceDelta-avg,Ax-avgN,Ay-avgN,Az-avgN,A-mag,DistanceDelta-1
843335,21363,219,-1.419292,0.5391942,0.1006105,-1.647863,-0.785348,0.9680098,26.766,0.2461,-1.45875458,-0.55599504,0.55189256,0.22942,-0.0322344,0.01894994,-0.0191453,2.066220443,0.2248
843535,21563,200,-1.647863,-0.785348,0.9680098,-0.8986569,-1.289377,0.6974359,26.9917,0.2257,-1.49001218,-0.53391934,0.60835166,0.2296,-0.0312576,0.0220757,0.0564591,1.719445872,0.2461
843735,21763,200,-0.8986569,-1.289377,0.6974359,-1.98779,-0.9357753,0.7589744,27.2174,0.2257,-1.51247858,-0.52415134,0.4981685,0.22978,-0.0224664,0.009768,-0.11018316,2.324441145,0.2257
843935,21963,200,-1.98779,-0.9357753,0.7589744,-1.496459,-0.1982906,0.5167277,27.4431,0.2257,-1.44644698,-0.53978016,0.4647619,0.22952,0.0660316,-0.01562882,-0.0334066,1.595530074,0.2257
844135,22163,200,-1.496459,-0.1982906,0.5167277,-1.531624,0.5880342,-0.4503053,27.6688,0.2257,-1.43609288,-0.53645916,0.56654452,0.22974,0.0103541,0.003321,0.10178262,1.701302783,0.2257
844352,22380,217,-1.531624,0.5880342,-0.4503053,-1.317705,-0.8634921,0.8009768,27.9136,0.2448,-1.43687428,-0.6120635,0.48039066,0.22952,-0.0007814,-0.07560434,-0.08615386,1.767350816,0.2257
844554,22582,202,-1.317705,-0.8634921,0.8009768,-0.8468864,-1.272772,1.206349,28.1404,0.2268,-1.42788768,-0.56380953,0.46691082,0.2293,0.0089866,0.04825397,-0.01347984,1.947419587,0.2448
844754,22782,200,-0.8468864,-1.272772,1.206349,-1.991697,-1.313797,0.3282051,28.365,0.2246,-1.41636148,-0.63159951,0.41181926,0.22906,0.0115262,-0.06778998,-0.05509156,2.408451387,0.2268
844954,22982,200,-1.991697,-1.313797,0.3282051,-1.451526,0.04297925,0.4493285,28.5896,0.2246,-1.38178268,-0.67887669,0.4878143,0.2293,0.0345788,-0.04727718,0.07599504,1.520089157,0.2246
845154,23182,200,-1.451526,0.04297925,0.4493285,-1.473993,0.2490843,-0.7257631,28.8141,0.2245,-1.4110867,-0.71208789,0.5972161,0.2296,-0.02930402,-0.0332112,0.1094018,1.661755226,0.2246
845373,23401,219,-1.473993,0.2490843,-0.7257631,-1.144811,-1.099878,1.180952,29.0601,0.246,-1.3907693,-0.62632483,0.52102563,0.22992,0.0203174,0.08576306,-0.07619047,1.978628683,0.2245
845575,23603,202,-1.144811,-1.099878,1.180952,-0.9934065,-1.438828,1.753358,29.2884,0.2283,-1.3071551,-0.62417587,0.52962147,0.23044,0.0836142,0.00214896,0.00859584,2.476155642,0.246
